K,Silhouette_Score,Best_K,Final_Silhouette
2,0.1980812596996055,2,0.1980812596996055
3,0.07921862474843949,2,0.1980812596996055
4,0.06799573665530124,2,0.1980812596996055
5,0.01639758494259548,2,0.1980812596996055
