Feature,Mean_SHAP
PSD_Fz_15.5Hz,0.0019597543275399806
PSD_F4_36.7Hz,0.0019546054547424038
PSD_F2_6.7Hz,0.001951783293772506
PSD_FCz_25.5Hz,0.0019474882471963162
PSD_F3_2.2Hz,0.0019429380005793672
Fz_skewness,0.001942355600569925
F3_line_length,0.001927867168734143
F3_app_entropy,0.0019244290930869451
Fz_hjorth_complexity,0.0019000674283744202
PSD_F3_3.3Hz,0.0018871557694792194
F6_samp_entropy,0.0018823507751857009
PSD_F2_15.5Hz,0.0018637559121498619
PSD_Fz_3.3Hz,0.0018499257300496684
PSD_F4_20.0Hz,0.0018431797276252302
PSD_F4_10.0Hz,0.0018423004235241713
PSD_F3_11.1Hz,0.0018416570385032642
PSD_FCz_33.3Hz,0.0018380645240280158
PSD_F4_13.3Hz,0.0018356124763538317
PSD_F2_18.9Hz,0.0018199870118980463
PSD_Fz_35.5Hz,0.001818910237480686
F6_zero_crossings,0.0018186501925842918
PSD_F4_2.2Hz,0.0018141222078618495
PSD_F4_22.2Hz,0.0018039569275308616
PSD_F4_34.4Hz,0.0017957974430639315
PSD_F6_13.3Hz,0.001792457893739188
F2_skewness,0.0017726666531656656
PSD_F4_21.1Hz,0.0017705829701842868
PSD_F2_30.0Hz,0.0017551772267676924
PSD_FCz_2.2Hz,0.001752299453533773
PSD_F4_30.0Hz,0.0017517172369642651
PSD_FCz_23.3Hz,0.0017480025929484879
PSD_F3_38.9Hz,0.001743265783649638
PSD_F2_3.3Hz,0.001738162868162957
PSD_F6_14.4Hz,0.0017366254479369773
PSD_Fz_13.3Hz,0.0017259924266045602
PSD_Fz_32.2Hz,0.0017204644494909875
PSD_F2_34.4Hz,0.001680378890840678
PSD_F6_20.0Hz,0.0016759747944317222
PSD_F6_33.3Hz,0.001657547979619209
PSD_FCz_8.9Hz,0.0016507760076683638
PSD_F2_8.9Hz,0.0016413081511037406
PSD_F3_18.9Hz,0.0016286660437715625
PSD_F6_10.0Hz,0.0016258327042615824
PSD_F6_23.3Hz,0.0016139349160297235
PSD_FCz_36.7Hz,0.0016077342300341198
PSD_FCz_27.8Hz,0.0016059042606673042
PSD_Fz_30.0Hz,0.0016045324721210826
PSD_F3_12.2Hz,0.001600964039588001
PSD_F2_40.0Hz,0.0016009608756811715
F6_line_length,0.0016009201371572994
FCz_app_entropy,0.0015956846787008316
PSD_F6_26.7Hz,0.0015891941454438837
PSD_F6_27.8Hz,0.0015874340798297882
PSD_FCz_12.2Hz,0.0015795628016177733
PSD_F4_12.2Hz,0.001568280694708122
PSD_Fz_12.2Hz,0.001566787665264192
PSD_F2_16.7Hz,0.0015650349372421607
PSD_F6_37.8Hz,0.0015505679246075594
PSD_Fz_26.7Hz,0.0015468642533616077
PSD_F4_1.1Hz,0.0015405065281602305
PSD_F4_3.3Hz,0.0015186559085970377
PSD_F2_2.2Hz,0.001498275699547472
PSD_Fz_17.8Hz,0.0014962616934394877
PSD_F4_14.4Hz,0.001484572110538364
PSD_FCz_4.4Hz,0.0014831856415506133
PSD_F2_36.7Hz,0.0014777120490458038
FCz_zero_crossings,0.0014742998977406512
PSD_FCz_38.9Hz,0.001470539240874781
PSD_Fz_36.7Hz,0.0014692899479772754
PSD_F2_17.8Hz,0.00143486963735977
PSD_F4_18.9Hz,0.0014277636396234324
PSD_F4_11.1Hz,0.0014271704750938162
F4_spect_entropy,0.0014220991468773857
FCz_hjorth_mobility,0.001412322468039405
PSD_Fz_11.1Hz,0.0014080465798189939
PSD_F2_1.1Hz,0.0014061403524375815
PSD_F6_3.3Hz,0.0013953938562407849
