Feature,Mean_SHAP
PSD_F2_33.3Hz,0.0019855840453983837
PSD_F3_23.3Hz,0.001983876453956741
PSD_F6_28.9Hz,0.0019703238680901934
Fz_samp_entropy,0.0019630511808992382
PSD_F4_18.9Hz,0.00196113112354535
PSD_FCz_7.8Hz,0.001960444804406078
PSD_Fz_4.4Hz,0.0019591486570551364
PSD_F4_32.2Hz,0.001957901924765811
PSD_F3_14.4Hz,0.001956243676626701
PSD_F6_10.0Hz,0.0019508971259964232
PSD_Fz_15.5Hz,0.0019457228225669787
PSD_FCz_36.7Hz,0.001940329627696219
PSD_FCz_38.9Hz,0.001937806371863078
PSD_F6_4.4Hz,0.001937511664823449
PSD_F2_12.2Hz,0.0019327958147263382
PSD_F3_4.4Hz,0.0019304378999327873
F6_svd_entropy,0.0019226899077876012
F6_hjorth_mobility,0.0019209018217104731
PSD_F3_26.7Hz,0.0019163395621193471
PSD_Fz_11.1Hz,0.001912805391613492
PSD_F4_21.1Hz,0.0019048254523205811
F2_kurtosis,0.0019024834918872147
PSD_F6_15.5Hz,0.0019009858563434686
PSD_Fz_30.0Hz,0.0018949318074342138
PSD_F4_30.0Hz,0.0018871942419894606
PSD_F4_22.2Hz,0.0018864955724970899
PSD_F3_16.7Hz,0.001885717182734388
PSD_Fz_24.4Hz,0.0018842109416739269
Fz_skewness,0.0018737974095355075
FCz_app_entropy,0.0018728155849511185
PSD_F3_1.1Hz,0.0018724522891570802
PSD_F6_22.2Hz,0.0018645900375556417
PSD_Fz_12.2Hz,0.0018643065996004913
PSD_F6_17.8Hz,0.001862977399556819
PSD_F2_35.5Hz,0.0018561543836799236
PSD_F2_16.7Hz,0.001855581759016839
F3_kurtosis,0.0018537442917186786
PSD_F3_36.7Hz,0.0018517638110154106
Fz_hjorth_complexity,0.0018475763837413083
PSD_F4_34.4Hz,0.0018451654891373404
PSD_FCz_14.4Hz,0.0018368671259796207
PSD_F3_25.5Hz,0.001834746601144173
PSD_Fz_3.3Hz,0.0018327208157510786
PSD_FCz_35.5Hz,0.0018323957466393251
PSD_FCz_20.0Hz,0.0018226250538142023
PSD_F2_36.7Hz,0.0018147855407671077
F4_line_length,0.0018113809923622182
F6_hjorth_complexity,0.001810320053220655
PSD_F2_2.2Hz,0.001805491337198655
F3_line_length,0.0018030281865847853
PSD_F2_40.0Hz,0.0017972130904232548
PSD_F2_28.9Hz,0.0017924571522229952
Fz_zero_crossings,0.001790805581525111
PSD_F3_30.0Hz,0.0017806627502420117
PSD_F2_27.8Hz,0.0017805047484455716
Fz_app_entropy,0.0017804904476239455
F2_hjorth_complexity,0.0017670338245006432
PSD_F2_22.2Hz,0.0017659723610148692
FCz_hjorth_complexity,0.0017607295831439317
PSD_Fz_20.0Hz,0.0017502995635807004
PSD_F6_21.1Hz,0.0017473064292407331
PSD_F2_18.9Hz,0.0017355642856851283
PSD_Fz_38.9Hz,0.001730224360098761
PSD_F6_26.7Hz,0.001719529267183149
PSD_Fz_17.8Hz,0.0017186479273816164
PSD_Fz_31.1Hz,0.0017183469953332838
PSD_Fz_40.0Hz,0.0017175431281666361
PSD_F2_31.1Hz,0.0017127455783941597
PSD_F3_12.2Hz,0.0017120967405010233
F3_samp_entropy,0.0017078241857665087
PSD_F6_27.8Hz,0.0017052629348651668
PSD_Fz_2.2Hz,0.0017051834169320838
PSD_Fz_7.8Hz,0.0017000480841648327
PSD_F6_32.2Hz,0.0016947647108921974
PSD_F4_15.5Hz,0.0016867503317039366
PSD_F3_18.9Hz,0.0016846634691691812
PSD_F4_11.1Hz,0.0016844240417257434
PSD_F3_27.8Hz,0.0016796582803880718
PSD_F4_20.0Hz,0.0016737763391877548
PSD_F6_7.8Hz,0.0016717712392433622
PSD_F2_15.5Hz,0.0016676020432537413
PSD_F4_13.3Hz,0.0016628987131545876
PSD_F4_25.5Hz,0.001661531012769237
PSD_F3_38.9Hz,0.0016597275607710881
PSD_FCz_37.8Hz,0.0016586805215530402
PSD_F6_16.7Hz,0.0016562171902677995
PSD_Fz_35.5Hz,0.0016561337048695579
PSD_F2_30.0Hz,0.0016506829014478336
PSD_F6_2.2Hz,0.0016487878385702626
PSD_F4_28.9Hz,0.0016397225170599204
Fz_line_length,0.0016394031952938217
PSD_FCz_2.2Hz,0.001632698110097978
PSD_Fz_32.2Hz,0.001631436336466096
PSD_F6_3.3Hz,0.0016303175891845335
PSD_F3_6.7Hz,0.0016266354097070183
PSD_F6_23.3Hz,0.0016223960109271992
PSD_F6_38.9Hz,0.0016164422885848702
PSD_F2_1.1Hz,0.001616271169208218
F3_hjorth_mobility,0.0016152932698262552
PSD_F2_34.4Hz,0.0016119584723519743
