Epoch,True_Label,Cluster,PCA_1,PCA_2
0,1,0,7.665559598653016,7.244042591171003
1,0,0,8.28588036888542,-0.9427376895454513
2,1,0,4.603136941052011,2.5790977344068784
3,1,1,-1.3018420189766868,-1.4765755309444963
4,1,0,1.4343756160982493,-1.99088902794966
5,1,0,14.152286501367017,5.643406267501322
6,1,0,7.472727202993782,1.3751763348087516
7,1,0,6.687426881292309,0.7841403067959679
8,1,0,1.6818302260777667,4.37451125288296
9,1,1,-0.7781906959218048,1.2502087422235504
10,0,0,5.258610494865526,-1.7051774066473238
11,1,1,-2.1094933392497848,-1.3580799105798083
12,0,1,-8.280122387332524,-7.445053839927067
13,0,0,3.6669104485791646,1.0375659414298901
14,0,0,3.6963677718969383,-0.7286215385731292
15,1,1,-1.063046792154437,-2.521084979229666
16,1,1,-2.237561287283475,-3.503270012850006
17,1,0,1.2180525141489982,1.2064112203602093
18,1,1,0.9871496327797151,-0.605235455690933
19,0,1,-0.49058497543065743,4.330754695803378
20,0,0,4.635407218343902,-0.27215208875374575
21,0,0,2.5413623538077106,-0.8165433658462845
22,1,1,-2.779284253964741,-5.999385529879055
23,1,0,1.353999224852111,-1.7785763324240456
24,1,0,2.6757551802793045,-3.0061263567254533
25,0,0,1.6977671529843037,-1.6059445028529746
26,1,0,2.324767380055377,1.588957785220362
27,1,0,-3.452739185829351,5.765825933622622
28,1,1,-1.341696572205727,2.8053166445477857
29,1,1,-1.02731435109712,-0.39697866854170877
30,1,0,3.8667848284076394,-0.8349662356299526
31,0,0,6.940801223048852,0.3626170554068569
32,0,0,3.3442979581199146,-0.1828133470308191
33,0,1,1.2707708102047366,-5.106938897014785
34,1,0,5.088418104821212,-1.1987493849016766
35,1,1,-1.204627313562098,0.29445756796375633
36,1,0,2.6598481964408203,-0.15870682157474272
37,0,0,4.085327058475715,-2.846396181778218
38,0,1,0.41357883954196867,5.705926970933637
39,0,0,3.9584998580642465,-0.6219498697937821
40,1,0,1.2618227316480282,6.276044530167985
41,1,1,-1.7897187319737689,-2.9962874718689947
42,1,1,-2.545147620169462,11.6031155806839
43,1,0,6.8164270378558935,-0.7821941077726086
44,1,1,-3.4620058326866725,2.243762820126672
45,1,0,2.6458492029689893,-2.379110908095478
46,1,1,-0.6024757178714697,-1.4764222936844245
47,1,1,-2.2262839145903177,0.6922340600135465
48,0,0,2.9567796753426285,0.26626601521434307
49,0,1,-1.4253844321501654,-0.1467615443206213
50,0,1,-2.815021163338268,5.619682317098402
51,1,1,-4.484734954438519,-2.6761480000318767
52,0,1,-0.21732880204788743,-3.6369766562321018
53,0,1,0.6858460322103168,-6.5549014476673975
54,0,1,-4.766448155059466,-1.5796298404677822
55,1,1,-1.6961201932642824,1.6172161891486312
56,1,0,2.4763731428245928,-1.9382494220158781
57,1,1,-7.374288919546624,-0.44840553848112275
58,1,1,-13.8868276809531,-0.0857994464526372
59,1,0,2.074501203135765,-4.417766263616156
60,0,1,-0.9277442446347095,-5.847089945996732
61,0,1,-1.948961034906606,1.7540529472965485
62,0,0,2.379622577678261,0.5466440521680835
63,1,0,-2.9480380305925737,4.466084334192421
64,1,1,-1.7322914110642342,0.46758624526265385
65,0,1,-4.445573939394369,-3.3194605843927656
66,0,0,5.382822169428176,1.7442932592257059
67,0,1,-1.8065130858990543,-2.334164574473575
68,1,1,-2.2233730673760035,-5.844381637823336
69,1,0,0.1382359518389815,-0.25790444285751546
70,0,1,-1.965853046172487,-0.37182958645657505
71,0,0,-0.3779591310735851,3.696419868210811
72,0,1,-6.380871266073909,3.383594218329573
73,1,1,-8.756066518886321,1.4260220924506892
74,1,1,-1.7626996738748653,-7.206241443362428
75,1,1,-1.9869224963948495,-0.3669018128292476
76,0,1,-6.261413182182061,-1.9199340018252022
77,0,0,0.9905698440648859,-4.92150447368174
78,0,1,-2.99545418423616,4.702446060966116
79,0,1,0.4267751544724816,3.220106721921922
80,0,1,-4.194146701331963,-5.511783638037157
81,0,1,-11.530478430451167,16.546293077132955
82,1,0,0.5174744308095169,1.1510540291451123
83,0,1,-4.033272930365883,-3.212316129519713
84,1,1,-0.6614623289742346,0.011145405726757573
85,0,1,-3.9979367268735855,-3.8328372207346706
86,0,0,-0.5522715522137196,2.083206308611434
87,0,0,2.426793533654521,1.302268229209328
