Epoch,True_Label,Cluster,PCA_1,PCA_2
0,1,1,-2.890915683397226,-0.21930241911202544
1,1,1,-6.837838798719052,0.7197274800811503
2,1,1,-3.9835679510979998,1.0413151469352293
3,1,1,-5.376982316977853,-1.1630787224958101
4,1,1,-5.542608470180362,-2.1290411074815716
5,1,1,1.8611981872741368,-8.815865746200922
6,1,1,-5.107743012670032,12.932083237252126
7,1,1,-3.984644524760851,1.6330950311435044
8,1,0,12.404487552616352,12.033296666576472
9,0,1,-0.5001563616055762,-1.950139308226625
10,0,1,-0.9198836017201246,-6.904137720317709
11,0,1,0.8053095375516239,-3.3031837208090353
12,1,1,-1.9424255934462356,2.6358472454790642
13,1,1,0.6692337444622237,-3.611059389810829
14,0,1,-1.1837173489155126,-2.570928764554876
15,0,1,-2.567405585753931,3.079728012693707
16,0,1,-4.0128055203389446,3.5743585759236125
17,1,1,2.874189959088123,0.1559897607525619
18,1,1,-1.9272542351693849,-4.876919734110694
19,0,1,-1.9067500102958652,2.644729836926937
20,0,0,21.706989000505516,1.6950221900385285
21,0,1,-7.283333410677099,3.6547988211081632
22,0,1,2.066265308204924,-1.765917617706811
23,0,1,-5.517664387415763,1.884161874956195
24,1,1,-1.4159124959480873,-1.6640460094772318
25,1,1,-1.6936871219864547,1.1346080701576577
26,1,1,-2.0050338020781893,-0.47834051637167696
27,1,1,-0.5243276635487872,2.392435006452438
28,0,1,-3.313837183236826,1.0940336648322793
29,0,0,6.149783226315899,5.694564904891562
30,0,1,-1.9561733411113962,4.627803661389002
31,1,1,-2.5688839902202676,-2.5536701674433195
32,0,1,1.4936942560122888,-8.13869212731046
33,0,1,-4.167480653247576,0.7609555918896957
34,0,0,7.155735893412386,2.672309836370658
35,1,0,10.012087444776963,-3.7007302189352913
36,1,1,-3.2231985887845545,-1.0908657665542325
37,1,1,-0.3624266117582073,-3.3560461342513532
38,0,1,-4.866754327525861,-0.24345923033822486
39,0,1,-6.949680755633429,2.085190781356965
40,0,1,0.9089596602377702,-0.9082778095132407
41,1,0,10.983843420307279,7.626555452018358
42,1,1,-5.162341835115825,-1.1467720834020338
43,0,1,-0.0014419398104659384,-4.081883438062782
44,0,1,-1.6937145863815657,-2.7263839999145505
45,0,0,8.775418644072367,4.081186264531706
46,1,1,-1.6915269407290243,5.495816495318993
47,1,1,-4.770708479261449,0.3726026870398423
48,0,0,-2.4535541180615072,8.776354082722706
49,0,1,-1.8609826301767063,-0.6058012363135202
50,0,1,-2.938598543486638,1.485772336989841
51,0,1,6.009665418092494,-9.999061735699579
52,0,1,-0.12314055300750906,-2.2186371712875856
53,0,1,5.149026930636209,-2.5291803614445563
54,1,1,-0.10730270888885837,-3.3730490694797215
55,0,1,3.808820798122194,-5.105735189971951
56,0,1,-2.9731843057792053,4.0176363955534455
57,0,1,-1.638826592555547,-1.1222450051978308
58,1,1,0.27077260355059946,1.4512085492187934
59,1,1,0.5941414301212101,0.8293437507060571
60,1,1,-2.169824300699961,1.887695957746222
61,0,1,0.13911412478513505,-2.987731751933298
62,0,0,8.377054629511717,3.8525880482762775
63,0,1,-6.7372375561100295,3.720954245046877
64,1,1,6.848249441680949,-2.4048937623767657
65,1,1,1.040476079425589,-3.303889348662379
66,0,1,-1.8785592826205297,-6.9666321534557865
67,0,1,3.6348627263995374,-0.5690085386180291
68,0,1,6.994657703742771,-3.1591625855343124
