PARTICIPANT,FEATURE,MEAN_ABSOLUTE_SHAP,MEAN_SHAP
c11,F2_samp_entropy,0.0,0.0
c11,F3_samp_entropy,0.0,0.0
c11,F4_samp_entropy,0.0,0.0
c11,PSD_Fz_2.2Hz,0.0,0.0
c11,PSD_FCz_27.8Hz,0.0,0.0
c11,PSD_Fz_6.7Hz,0.0,0.0
c11,PSD_Fz_7.8Hz,0.0,0.0
c11,PSD_Fz_8.9Hz,0.0,0.0
c11,PSD_Fz_10.0Hz,0.0,0.0
c11,PSD_Fz_11.1Hz,0.0,0.0
c11,PSD_FCz_31.1Hz,0.0,0.0
c11,PSD_Fz_13.3Hz,0.0,0.0
c11,PSD_FCz_32.2Hz,0.0,0.0
c11,PSD_Fz_15.5Hz,0.0,0.0
c11,PSD_FCz_33.3Hz,0.0,0.0
c11,PSD_Fz_17.8Hz,0.0,0.0
c11,PSD_Fz_18.9Hz,0.0,0.0
c11,PSD_Fz_20.0Hz,0.0,0.0
c11,PSD_Fz_21.1Hz,0.0,0.0
c11,PSD_Fz_4.4Hz,0.0,0.0
