PARTICIPANT,FEATURE,MEAN_ABSOLUTE_SHAP,MEAN_SHAP
c02,F2_samp_entropy,0.0,0.0
c02,F3_samp_entropy,0.0,0.0
c02,F4_samp_entropy,0.0,0.0
c02,PSD_Fz_2.2Hz,0.0,0.0
c02,PSD_FCz_7.8Hz,0.0,0.0
c02,PSD_Fz_6.7Hz,0.0,0.0
c02,PSD_FCz_10.0Hz,0.0,0.0
c02,PSD_FCz_11.1Hz,0.0,0.0
c02,PSD_Fz_10.0Hz,0.0,0.0
c02,PSD_Fz_11.1Hz,0.0,0.0
c02,PSD_Fz_12.2Hz,0.0,0.0
c02,PSD_Fz_13.3Hz,0.0,0.0
c02,PSD_FCz_12.2Hz,0.0,0.0
c02,PSD_Fz_15.5Hz,0.0,0.0
c02,PSD_FCz_13.3Hz,0.0,0.0
c02,PSD_FCz_14.4Hz,0.0,0.0
c02,PSD_Fz_18.9Hz,0.0,0.0
c02,PSD_Fz_20.0Hz,0.0,0.0
c02,PSD_Fz_21.1Hz,0.0,0.0
c02,PSD_Fz_4.4Hz,0.0,0.0
