PARTICIPANT,FEATURE,MEAN_ABSOLUTE_SHAP,MEAN_SHAP
c06,PSD_F2_1.1Hz,0.83227766,-0.013649452
c06,FCz_svd_entropy,0.49823788,-0.028505152
c06,PSD_F4_13.3Hz,0.44869995,-0.026121251
c06,PSD_F4_5.6Hz,0.3285951,0.040089607
c06,PSD_FCz_22.2Hz,0.3101047,-0.017385915
c06,PSD_F6_26.7Hz,0.28732544,-0.0147533845
c06,PSD_F3_14.4Hz,0.21630996,-0.004903331
c06,PSD_F2_32.2Hz,0.19047104,-0.024410844
c06,PSD_Fz_25.5Hz,0.14747106,0.0022764937
c06,PSD_Fz_33.3Hz,0.14389701,-0.009682096
c06,PSD_FCz_26.7Hz,0.14286864,0.0076418235
c06,PSD_F3_2.2Hz,0.1276478,-0.011386632
c06,PSD_F2_23.3Hz,0.108111955,-0.0012381978
c06,PSD_Fz_17.8Hz,0.10560343,-0.0015493851
c06,PSD_F6_11.1Hz,0.105051234,-0.0017178357
c06,PSD_F4_30.0Hz,0.10203448,-0.0013013561
c06,PSD_F6_38.9Hz,0.09467865,-0.0019487537
c06,PSD_F3_6.7Hz,0.07877536,-0.006887938
c06,PSD_FCz_24.4Hz,0.07735867,0.0031864385
c06,PSD_F4_34.4Hz,0.073364966,-0.0060937786
c06,PSD_F6_5.6Hz,0.068810314,-0.004489224
c06,PSD_F2_6.7Hz,0.06789207,-0.0065259845
c06,PSD_Fz_16.7Hz,0.06610198,-0.008721229
c06,PSD_Fz_11.1Hz,0.065467276,0.0035551242
c06,PSD_F2_12.2Hz,0.0627295,-0.014562633
c06,PSD_F6_23.3Hz,0.061224177,-0.0016030865
c06,PSD_F6_36.7Hz,0.060481146,-0.0019236
c06,PSD_FCz_8.9Hz,0.058650937,0.00046140043
c06,PSD_FCz_7.8Hz,0.054492705,-0.0023552012
c06,PSD_Fz_30.0Hz,0.05295074,-0.009780963
c06,PSD_F6_15.5Hz,0.05189085,0.0025452552
c06,F6_kurtosis,0.049303193,-0.004680051
c06,F3_zero_crossings,0.04447918,-0.0035950383
c06,PSD_F2_33.3Hz,0.04230526,-0.013350442
c06,PSD_FCz_40.0Hz,0.03858495,-0.0006232374
c06,F4_hjorth_mobility,0.037552033,-0.0020139748
c06,F2_kurtosis,0.03726156,-0.0021717874
c06,PSD_F2_14.4Hz,0.03430453,0.0012883415
c06,PSD_F4_40.0Hz,0.034244556,-3.8442187e-05
c06,PSD_F6_14.4Hz,0.032981247,0.00066192006
c06,FCz_app_entropy,0.03172948,-0.006014048
c06,PSD_F4_12.2Hz,0.031417426,-0.0007476239
c06,PSD_FCz_30.0Hz,0.03130319,-0.0007578286
c06,PSD_Fz_6.7Hz,0.031269938,0.003013006
c06,PSD_FCz_16.7Hz,0.031263158,0.0006631182
c06,PSD_F2_27.8Hz,0.029019587,0.0011736564
c06,PSD_F6_32.2Hz,0.026036,-0.0010872622
c06,PSD_F6_25.5Hz,0.025775282,0.0021382817
c06,PSD_F3_21.1Hz,0.023714174,-0.0020996197
c06,PSD_F3_1.1Hz,0.023262855,-0.0019117892
c06,F3_skewness,0.023145925,-0.0029772513
c06,PSD_F6_10.0Hz,0.022953229,-0.0007071782
c06,PSD_F6_34.4Hz,0.019254291,-0.0019703242
c06,PSD_F6_35.5Hz,0.019079436,-0.0012751999
c06,F6_spect_entropy,0.018871864,0.0005054625
c06,PSD_F4_16.7Hz,0.018148186,-0.0004747463
c06,Fz_skewness,0.018121317,-0.00063436804
c06,PSD_F4_24.4Hz,0.018020198,0.002811745
c06,PSD_F3_25.5Hz,0.016494183,-0.0017444416
c06,F6_app_entropy,0.015152069,-0.0021204678
c06,FCz_line_length,0.015107825,-0.00063523115
c06,PSD_F3_24.4Hz,0.015027529,-0.00038099234
c06,PSD_F6_3.3Hz,0.014504308,0.0007512044
c06,PSD_F6_33.3Hz,0.01446382,-0.0012783803
c06,PSD_FCz_13.3Hz,0.014400002,-0.00048416576
c06,PSD_Fz_35.5Hz,0.013920778,0.0011003086
c06,PSD_F4_7.8Hz,0.013733959,-0.0004687443
c06,PSD_F3_23.3Hz,0.013402039,-0.0006987013
c06,F4_line_length,0.01330899,-0.00097278884
c06,PSD_FCz_37.8Hz,0.013067106,-0.00028501882
c06,PSD_F2_20.0Hz,0.012184167,-0.0024461173
c06,PSD_FCz_2.2Hz,0.011769611,-0.0001513897
c06,PSD_Fz_22.2Hz,0.011586916,0.00031607962
c06,PSD_F6_24.4Hz,0.011456447,-0.00055397
c06,PSD_FCz_33.3Hz,0.011138123,0.00044375967
c06,PSD_F6_18.9Hz,0.00967023,-0.0010439643
c06,PSD_F2_10.0Hz,0.009554365,0.0009595836
c06,PSD_F3_16.7Hz,0.008878848,0.0033086315
c06,PSD_Fz_34.4Hz,0.008729756,0.00017071207
c06,PSD_FCz_3.3Hz,0.007555104,0.00012623312
c06,PSD_FCz_5.6Hz,0.0073988223,0.0020280434
c06,PSD_FCz_28.9Hz,0.0071991696,-0.0010948636
c06,F6_hjorth_mobility,0.0071336003,-0.00035420412
c06,FCz_hjorth_complexity,0.007012173,0.0007289554
c06,Fz_kurtosis,0.006883591,-0.0014700611
c06,PSD_F4_15.5Hz,0.006802374,-0.0010690901
c06,Fz_zero_crossings,0.0063177072,-0.002001064
c06,F6_zero_crossings,0.0,0.0
c06,F2_zero_crossings,0.0,0.0
c06,FCz_zero_crossings,0.0,0.0
c06,F4_svd_entropy,0.0,0.0
c06,Fz_spect_entropy,0.0,0.0
c06,F2_spect_entropy,0.0,0.0
c06,FCz_spect_entropy,0.0,0.0
c06,PSD_Fz_20.0Hz,0.0,0.0
c06,PSD_Fz_18.9Hz,0.0,0.0
c06,PSD_Fz_15.5Hz,0.0,0.0
c06,PSD_Fz_14.4Hz,0.0,0.0
c06,PSD_Fz_13.3Hz,0.0,0.0
c06,F3_svd_entropy,0.0,0.0
c06,PSD_Fz_10.0Hz,0.0,0.0
c06,PSD_Fz_8.9Hz,0.0,0.0
c06,PSD_FCz_38.9Hz,0.0,0.0
c06,PSD_FCz_36.7Hz,0.0,0.0
c06,PSD_F2_31.1Hz,0.0,0.0
c06,PSD_F2_30.0Hz,0.0,0.0
c06,PSD_F2_28.9Hz,0.0,0.0
c06,F4_zero_crossings,0.0,0.0
