PARTICIPANT,FEATURE,MEAN_ABSOLUTE_SHAP,MEAN_SHAP
c10,PSD_Fz_31.1Hz,0.0,0.0
c10,PSD_Fz_32.2Hz,0.0,0.0
c10,PSD_Fz_33.3Hz,0.0,0.0
c10,F3_hjorth_mobility,0.0,0.0
c10,PSD_Fz_34.4Hz,0.0,0.0
c10,FCz_hjorth_complexity,0.0,0.0
c10,F3_hjorth_complexity,0.0,0.0
c10,F4_hjorth_complexity,0.0,0.0
c10,F6_hjorth_complexity,0.0,0.0
c10,Fz_zero_crossings,0.0,0.0
c10,FCz_zero_crossings,0.0,0.0
c10,F3_zero_crossings,0.0,0.0
c10,F4_zero_crossings,0.0,0.0
c10,F6_zero_crossings,0.0,0.0
c10,F2_spect_entropy,0.0,0.0
c10,F3_spect_entropy,0.0,0.0
c10,F2_samp_entropy,0.0,0.0
c10,F3_samp_entropy,0.0,0.0
c10,F4_samp_entropy,0.0,0.0
c10,F6_samp_entropy,0.0,0.0
