PARTICIPANT,FEATURE,MEAN_ABSOLUTE_SHAP,MEAN_SHAP
c09,PSD_Fz_27.8Hz,0.0,0.0
c09,PSD_Fz_34.4Hz,0.0,0.0
c09,PSD_Fz_35.5Hz,0.0,0.0
c09,Fz_hjorth_complexity,0.0,0.0
c09,F2_hjorth_complexity,0.0,0.0
c09,F3_hjorth_complexity,0.0,0.0
c09,F4_hjorth_complexity,0.0,0.0
c09,F6_hjorth_complexity,0.0,0.0
c09,Fz_zero_crossings,0.0,0.0
c09,FCz_zero_crossings,0.0,0.0
c09,F2_zero_crossings,0.0,0.0
c09,F3_zero_crossings,0.0,0.0
c09,F4_zero_crossings,0.0,0.0
c09,F6_zero_crossings,0.0,0.0
c09,F2_spect_entropy,0.0,0.0
c09,F3_spect_entropy,0.0,0.0
c09,F2_samp_entropy,0.0,0.0
c09,F3_samp_entropy,0.0,0.0
c09,F4_samp_entropy,0.0,0.0
c09,F6_samp_entropy,0.0,0.0
