PARTICIPANT,FEATURE,MEAN_ABSOLUTE_SHAP,MEAN_SHAP
c05,F6_hjorth_mobility,0.0,0.0
c05,Fz_hjorth_complexity,0.0,0.0
c05,F2_hjorth_complexity,0.0,0.0
c05,F4_kurtosis,0.0,0.0
c05,F3_hjorth_complexity,0.0,0.0
c05,PSD_Fz_1.1Hz,0.0,0.0
c05,F4_svd_entropy,0.0,0.0
c05,F6_svd_entropy,0.0,0.0
c05,Fz_app_entropy,0.0,0.0
c05,FCz_app_entropy,0.0,0.0
c05,F2_app_entropy,0.0,0.0
c05,F3_app_entropy,0.0,0.0
c05,F4_app_entropy,0.0,0.0
c05,F6_app_entropy,0.0,0.0
c05,Fz_samp_entropy,0.0,0.0
c05,FCz_samp_entropy,0.0,0.0
c05,F2_samp_entropy,0.0,0.0
c05,PSD_Fz_20.0Hz,0.0,0.0
c05,PSD_Fz_21.1Hz,0.0,0.0
c05,PSD_Fz_22.2Hz,0.0,0.0
