PARTICIPANT,FEATURE,MEAN_ABSOLUTE_SHAP,MEAN_SHAP
c08,PSD_Fz_21.1Hz,0.0,0.0
c08,PSD_Fz_23.3Hz,0.0,0.0
c08,PSD_Fz_28.9Hz,0.0,0.0
c08,Fz_skewness,0.0,0.0
c08,PSD_Fz_31.1Hz,0.0,0.0
c08,PSD_Fz_34.4Hz,0.0,0.0
c08,FCz_hjorth_complexity,0.0,0.0
c08,PSD_Fz_35.5Hz,0.0,0.0
c08,F3_hjorth_complexity,0.0,0.0
c08,F6_hjorth_complexity,0.0,0.0
c08,Fz_zero_crossings,0.0,0.0
c08,F2_hjorth_complexity,0.0,0.0
c08,FCz_zero_crossings,0.0,0.0
c08,F2_zero_crossings,0.0,0.0
c08,F6_zero_crossings,0.0,0.0
c08,F3_zero_crossings,0.0,0.0
c08,FCz_spect_entropy,0.0,0.0
c08,F3_samp_entropy,0.0,0.0
c08,F4_samp_entropy,0.0,0.0
c08,PSD_Fz_1.1Hz,0.0,0.0
