PARTICIPANT,FEATURE,MEAN_ABSOLUTE_SHAP,MEAN_SHAP
c07,PSD_Fz_31.1Hz,0.0,0.0
c07,PSD_Fz_34.4Hz,0.0,0.0
c07,PSD_Fz_35.5Hz,0.0,0.0
c07,F6_skewness,0.0,0.0
c07,PSD_Fz_36.7Hz,0.0,0.0
c07,F6_hjorth_complexity,0.0,0.0
c07,Fz_zero_crossings,0.0,0.0
c07,FCz_zero_crossings,0.0,0.0
c07,F2_zero_crossings,0.0,0.0
c07,F3_zero_crossings,0.0,0.0
c07,F4_zero_crossings,0.0,0.0
c07,F6_zero_crossings,0.0,0.0
c07,Fz_spect_entropy,0.0,0.0
c07,FCz_spect_entropy,0.0,0.0
c07,F2_spect_entropy,0.0,0.0
c07,F3_spect_entropy,0.0,0.0
c07,F4_spect_entropy,0.0,0.0
c07,F6_spect_entropy,0.0,0.0
c07,PSD_Fz_2.2Hz,0.0,0.0
c07,F6_samp_entropy,0.0,0.0
