PARTICIPANT,FEATURE,MEAN_ABSOLUTE_SHAP,MEAN_SHAP
c11,PSD_F4_20.0Hz,0.5993779,-0.044249766
c11,PSD_F2_37.8Hz,0.55235815,-0.026919184
c11,PSD_F4_26.7Hz,0.38229588,0.015203116
c11,PSD_F3_18.9Hz,0.2854594,0.020633532
c11,PSD_F4_16.7Hz,0.26678687,0.011095349
c11,PSD_F3_37.8Hz,0.22450468,-0.0090232445
c11,PSD_F2_34.4Hz,0.20642693,-0.0052794004
c11,PSD_F3_32.2Hz,0.20514771,-0.002923122
c11,FCz_hjorth_mobility,0.19155414,0.005724469
c11,PSD_F4_15.5Hz,0.1893752,0.0116938045
c11,PSD_F6_15.5Hz,0.16844873,0.005048042
c11,F6_hjorth_complexity,0.16342708,0.024356566
c11,F3_line_length,0.15853609,-0.007127083
c11,PSD_F6_13.3Hz,0.15176554,0.0003535162
c11,PSD_F2_38.9Hz,0.12954575,-0.00044528893
c11,PSD_FCz_15.5Hz,0.12568334,0.010630018
c11,PSD_Fz_38.9Hz,0.12534226,-0.0011576454
c11,PSD_F3_16.7Hz,0.12207348,0.015652867
c11,PSD_F3_26.7Hz,0.11642177,-0.0061694346
c11,Fz_samp_entropy,0.08423907,-0.0018339497
