Epoch,Class,Cluster,PCA_1,PCA_2
0,Class 1,1,0.666695751042411,1.739194583863512
1,Class 1,1,1.7018640794111992,-0.6701226806504501
2,Class 1,1,4.1498760036949545,-5.343995315126991
3,Class 1,1,8.723439176439042,-0.8448573553681472
4,Class 0,0,4.19009118901635,5.410002651772749
5,Class 0,2,-2.6858861364209163,1.5237467000914477
6,Class 1,0,15.300923697560682,10.36594848380177
7,Class 0,0,2.947709592428945,4.380491258111129
8,Class 0,1,4.069117909802703,-2.559050470805786
9,Class 0,1,7.815133005566862,1.3394565806908774
10,Class 1,0,-0.8110344069833293,7.653802591742161
11,Class 1,1,8.916540031109317,1.2158451342144412
12,Class 1,1,-0.9746095024216219,-3.859580344362532
13,Class 1,1,0.1934646367331512,3.868430274004097
14,Class 1,1,2.208249393874972,-1.430172992907901
15,Class 0,0,4.190702948458255,0.8078550837439539
16,Class 0,1,3.8864644320261386,-5.808606218855357
17,Class 0,0,7.700196923375285,11.63730685107703
18,Class 1,1,2.7821210216577845,1.8719723914727093
19,Class 1,1,12.993262298567798,-2.3999971133688023
20,Class 0,1,1.4470466041435874,-0.6533031149037924
21,Class 1,2,-5.125013196560183,2.0696362018950483
22,Class 1,1,9.204856392319726,1.5499040861772222
23,Class 0,2,-9.665961490555679,-3.8303441208360214
24,Class 0,1,4.935185300325825,-4.25349727200457
25,Class 1,2,-2.475005847736079,0.7022385851378131
26,Class 0,1,0.8720495708836693,-1.8908466724317023
27,Class 0,2,-9.082103751076474,7.339216525840204
28,Class 0,1,5.8200678766112794,-0.5762795410122484
29,Class 1,1,4.539362094372289,-1.3665138494562694
30,Class 1,2,-10.431002681373306,-3.488230472073087
31,Class 0,1,-1.9753955211317986,-2.711664516810647
32,Class 0,1,1.3183934809395026,5.3205171529995665
33,Class 0,2,-5.096841639171822,-2.496971791294639
34,Class 1,1,1.6823342787309268,5.138111114287437
35,Class 0,1,-0.16104185528854406,-2.7275849593614
36,Class 0,2,-5.773253122787964,4.518590689093403
37,Class 0,1,-3.6685075613828473,-4.898079769829443
38,Class 1,2,-4.496245788050608,0.048253289248852596
39,Class 0,1,7.639898581847926,-3.2806108054514325
40,Class 0,1,4.708543206792378,-6.260785508214633
41,Class 0,1,-2.576060568086159,-1.998337165444726
42,Class 1,1,2.4890240760663027,-3.27031732862776
43,Class 0,0,1.5803924692985065,5.091453098167365
44,Class 0,2,-4.351332121886966,3.3542258570685526
45,Class 0,0,-1.197113700236793,7.64548746098117
46,Class 1,2,-7.50452081284012,-1.4700105312951952
47,Class 0,1,1.564345809728761,-6.096264141907603
48,Class 0,1,3.174814770347374,-5.560933192219482
49,Class 0,2,-6.531275633166237,9.826641773040318
50,Class 1,1,1.059515531559424,2.3013430458927346
51,Class 1,1,2.222536244891538,-3.5602576440259788
52,Class 1,1,-2.0035099063316024,3.2663782749787975
53,Class 0,1,0.5205241021424477,-2.864984439163209
54,Class 0,2,-4.580265920244272,-2.734677788541355
55,Class 0,2,-5.0972249529887605,-4.743070949485289
56,Class 1,2,-6.207989242791116,-4.432882337161331
57,Class 1,2,-7.7722782697363,0.05297911066724366
58,Class 0,1,1.5272948402417108,0.9416010398927787
59,Class 0,1,4.074999977056158,-4.418828943626019
60,Class 0,2,-1.4010773372871648,4.988272912835359
61,Class 1,1,0.3784541291225833,-2.7794540903890677
62,Class 1,2,-9.306072525664908,1.2966825726071864
63,Class 1,2,-7.970906090874693,4.238505572768983
64,Class 1,1,0.4204766968988095,-6.615145714568829
65,Class 1,1,-1.7287275440777556,-6.345285939868893
66,Class 0,1,-2.2656766657289165,-1.6026550761962592
67,Class 0,2,-13.48188477717575,1.2159817713382381
68,Class 0,1,-2.0596691163081107,-3.380657184419245
69,Class 1,2,-8.678037980133372,-1.1183138335756755
70,Class 1,0,-3.1895216885642945,11.036372439793261
71,Class 0,1,4.0191115383137905,-2.9670520510102016
72,Class 0,1,-1.559473667997902,-4.08538076082836
73,Class 0,1,4.2494413596620255,-2.36084116181709
